claim_amount,policy_tenure_months,premium_to_claim_ratio,previous_claims_count,previous_fraud_flag,incident_severity,hospitalization_required,police_report_filed,document_count,claim_submission_delay_days,claimant_age,claimant_gender,claimant_location,fraud_label
84331.55,48,1.34,4,0,high,0,1,6,0,80,male,Mumbai,1
38171.63,68,1.37,2,0,low,1,1,0,31,28,male,Chennai,1
100038.92,97,1.92,3,0,low,0,0,4,20,42,male,Pune,0
96766.96,45,1.4,1,0,low,0,1,4,3,43,female,Bengaluru,1
47109.93,93,1.31,4,0,low,0,1,0,48,68,female,Chennai,0
35311.04,76,1.83,5,0,high,1,1,1,32,39,female,Pune,0
82216.96,36,1.97,4,0,low,0,0,4,0,32,female,Hyderabad,1
17630.55,110,1.4,6,0,low,1,1,5,41,65,female,Chennai,1
24789.08,53,1.56,7,0,high,0,0,1,55,49,male,Mumbai,1
1876.11,19,0.95,7,0,medium,0,1,3,25,65,male,Delhi,1
94644.0,116,0.9,0,0,medium,0,1,0,57,41,male,Chennai,1
80117.25,110,2.04,7,0,low,1,1,0,25,48,other,Bengaluru,1
84914.68,6,1.81,2,0,low,1,1,4,4,18,female,Chennai,1
93906.75,109,1.82,3,0,low,1,1,4,7,19,female,Hyderabad,0
55610.98,114,1.7,3,0,low,1,0,6,4,18,female,Delhi,0
68680.2,100,1.53,2,0,low,0,1,7,18,29,male,Pune,0
17635.84,31,1.99,7,0,low,1,1,1,23,39,male,Delhi,0
14629.08,76,2.15,5,0,low,0,1,2,27,21,female,Bengaluru,1
80539.95,65,2.14,7,1,low,0,1,6,29,28,other,Chennai,1
57060.45,75,1.43,7,1,high,0,0,0,52,71,male,Mumbai,1
68263.1,74,2.47,3,0,low,0,0,6,0,71,male,Hyderabad,1
92034.86,77,1.66,5,0,low,1,1,7,54,36,female,Pune,0
76531.48,62,1.94,4,0,high,0,1,0,14,77,female,Bengaluru,1
66875.95,83,1.7,3,0,low,1,0,1,58,25,female,Delhi,0
67545.65,64,1.67,5,0,medium,1,1,5,8,19,male,Chennai,1
37170.06,2,0.98,5,0,high,0,1,3,6,40,male,Mumbai,1
4667.32,5,1.99,7,0,medium,0,1,7,7,34,male,Hyderabad,0
52969.37,115,3.49,6,0,low,0,1,4,18,22,male,Pune,0
26535.58,110,1.24,4,0,medium,0,0,5,57,71,female,Chennai,0
49614.91,71,1.55,7,1,medium,1,0,1,28,79,female,Delhi,1
102554.97,21,1.19,0,0,low,0,1,2,10,35,female,Bengaluru,0
28838.8,94,1.16,6,0,low,0,1,1,39,37,male,Mumbai,0
7938.03,18,2.58,3,0,low,0,1,1,30,63,male,Delhi,1
34484.68,46,1.03,3,1,high,0,1,0,42,76,female,Delhi,1
35937.66,40,1.17,6,0,low,0,0,7,45,36,male,Mumbai,0
79768.07,2,0.39,2,0,low,0,1,0,47,61,male,Pune,1
67286.83,97,0.97,7,0,medium,0,1,4,9,19,male,Delhi,1
94283.89,62,0.3,3,0,high,1,0,4,30,53,male,Delhi,1
80053.31,38,1.94,2,0,low,0,1,0,38,80,male,Chennai,1
49360.04,61,3.46,2,0,low,0,1,6,33,47,male,Delhi,1
97868.43,1,1.24,3,0,low,0,1,4,59,58,female,Bengaluru,0
20869.78,53,0.33,7,0,medium,0,1,1,58,61,male,Delhi,1
3702.74,63,2.13,0,0,medium,0,0,1,49,57,female,Delhi,1
11715.7,41,0.99,4,0,high,1,1,5,14,61,female,Chennai,1
86960.76,100,2.41,6,0,low,0,1,4,32,73,female,Chennai,1
55963.39,30,1.3,3,0,low,0,0,3,49,18,female,Hyderabad,1
20191.34,17,1.06,4,0,low,0,1,3,16,73,male,Delhi,0
60624.33,64,1.38,2,0,low,0,1,0,43,75,male,Pune,1
19125.14,107,2.03,1,0,medium,0,1,0,15,74,female,Bengaluru,1
83862.12,46,1.34,5,0,medium,1,1,4,8,41,female,Delhi,1
54092.6,6,1.15,7,0,low,1,1,2,14,54,male,Pune,1
46341.53,117,1.36,4,0,medium,0,0,2,56,40,male,Hyderabad,0
36879.94,54,0.61,3,0,low,1,0,3,60,70,other,Bengaluru,0
76003.63,21,1.78,1,1,medium,0,0,4,52,43,female,Bengaluru,1
44055.7,74,0.25,7,0,low,0,1,2,16,37,female,Bengaluru,0
11430.34,39,1.19,6,1,medium,1,1,2,47,61,female,Hyderabad,1
15042.7,113,2.03,7,0,low,0,1,2,13,21,female,Chennai,0
115465.82,36,1.71,2,0,high,0,0,5,7,41,female,Chennai,1
109121.1,67,1.91,5,0,high,0,0,0,15,30,female,Chennai,0
84265.15,66,1.45,3,0,high,0,1,7,8,41,female,Chennai,0
32638.53,30,2.32,1,0,high,0,0,4,39,46,male,Chennai,1
116331.99,60,2.15,1,0,low,1,1,1,41,21,female,Pune,1
93671.36,14,1.81,3,1,medium,0,1,6,2,72,other,Delhi,1
86309.93,78,2.15,4,0,low,1,1,7,6,44,female,Mumbai,1
54474.02,91,2.03,0,1,high,0,1,0,29,40,male,Hyderabad,1
33396.75,115,1.19,5,0,low,0,1,1,6,27,female,Bengaluru,0
12470.52,40,0.56,3,0,low,0,0,1,50,80,male,Bengaluru,1
108409.69,35,1.79,7,0,medium,0,1,0,24,71,female,Bengaluru,1
55237.38,66,1.88,2,0,low,0,1,5,25,48,male,Chennai,0
25081.24,84,2.26,0,1,medium,0,0,1,0,39,female,Chennai,1
37408.84,120,0.84,2,1,low,0,1,3,42,47,female,Mumbai,1
69927.13,4,0.87,7,1,medium,0,0,6,44,78,male,Hyderabad,1
22035.96,29,1.82,2,1,high,1,1,4,46,31,female,Chennai,1
102937.1,32,1.45,5,0,medium,0,1,5,32,61,female,Mumbai,1
91263.82,31,0.18,6,0,low,0,1,0,16,74,male,Bengaluru,1
86616.09,56,1.76,2,0,low,0,1,7,4,65,male,Delhi,1
52419.07,105,0.2,5,0,low,0,1,0,19,72,male,Delhi,0
75649.75,4,0.84,1,0,low,0,1,5,33,77,female,Hyderabad,0
70507.66,98,2.45,2,0,medium,1,0,5,7,21,female,Mumbai,1
78331.75,75,2.78,2,0,low,0,1,3,3,33,male,Hyderabad,0
11048.87,74,0.65,5,0,low,0,0,6,13,27,male,Bengaluru,0
50481.08,82,1.27,7,0,low,0,0,7,4,53,male,Chennai,1
5952.09,14,1.53,2,0,high,0,0,0,0,43,male,Chennai,1
59784.91,90,2.75,2,0,low,0,1,7,29,20,female,Bengaluru,1
40253.48,30,1.15,6,0,low,1,1,1,45,53,male,Mumbai,1
18198.38,62,1.17,3,0,medium,0,1,6,30,24,female,Hyderabad,0
13304.95,82,2.58,4,0,low,0,1,6,5,43,female,Bengaluru,0
70929.7,73,1.24,5,0,high,1,1,4,20,41,female,Delhi,1
21300.56,39,2.01,1,0,low,0,1,6,2,74,male,Mumbai,1
111089.29,48,0.47,6,0,medium,1,0,6,37,60,female,Pune,1
70146.28,58,1.38,2,0,medium,1,0,4,14,57,female,Mumbai,1
42277.51,5,0.34,5,0,high,0,1,1,23,70,female,Pune,1
71318.94,88,0.76,3,0,medium,0,0,3,55,29,male,Hyderabad,1
3713.66,12,2.09,6,0,medium,1,1,7,35,34,male,Delhi,0
115068.55,56,1.47,4,0,low,0,1,1,46,65,female,Bengaluru,0
58394.11,79,1.28,1,0,medium,0,1,7,21,65,female,Chennai,0
94145.49,10,0.98,1,0,medium,0,0,1,56,19,female,Hyderabad,0
10844.87,120,1.35,7,0,medium,1,1,5,43,32,female,Delhi,1
58912.34,46,1.71,4,0,medium,0,1,5,31,32,female,Pune,1
59394.13,2,2.19,2,0,low,0,1,1,35,18,other,Bengaluru,0
112601.35,80,0.05,1,0,low,0,1,3,38,59,female,Hyderabad,0
69035.64,67,0.92,1,0,low,0,1,1,9,21,male,Delhi,1
57345.24,77,1.61,7,0,low,0,1,2,15,71,male,Pune,1
32770.1,91,1.43,7,0,low,0,0,7,41,54,female,Chennai,0
40456.71,58,1.78,3,0,low,0,1,0,26,65,male,Bengaluru,1
62960.02,100,1.69,1,0,medium,0,1,6,47,49,female,Pune,1
53230.46,45,1.29,3,0,medium,0,1,5,32,79,male,Pune,1
3571.84,66,1.13,1,0,medium,0,1,5,4,35,male,Bengaluru,1
99328.74,20,1.33,4,0,medium,0,1,2,40,53,female,Pune,0
107643.13,75,2.3,5,0,low,1,1,7,37,18,female,Mumbai,1
17689.64,32,0.99,7,0,low,0,0,2,22,70,female,Mumbai,1
66930.3,84,1.46,2,0,medium,0,1,4,48,53,male,Delhi,1
13920.51,97,1.63,1,0,high,0,0,0,21,29,male,Chennai,0
80996.57,104,2.59,1,0,medium,0,1,7,6,69,female,Delhi,1
34466.82,112,1.29,3,0,medium,0,1,5,7,80,female,Hyderabad,1
79471.29,15,2.17,4,0,medium,1,1,1,55,22,male,Bengaluru,1
87512.36,17,2.36,0,0,medium,0,1,5,22,71,female,Delhi,0
92469.05,112,1.46,6,0,medium,0,1,1,25,64,male,Bengaluru,0
13821.17,46,1.35,3,0,medium,1,1,3,18,40,female,Pune,1
110005.41,4,1.27,6,0,low,0,1,4,45,57,male,Hyderabad,1
28395.46,35,1.32,3,0,low,0,0,7,36,67,other,Mumbai,0
5452.09,101,2.1,1,0,low,0,1,2,54,48,male,Hyderabad,1
67027.44,43,1.66,0,0,medium,1,1,0,54,59,female,Bengaluru,0
45139.75,10,1.66,4,0,medium,0,1,3,60,21,female,Mumbai,1
99744.98,87,0.71,4,0,low,0,1,7,20,76,male,Delhi,1
97181.93,24,0.82,6,0,low,1,1,6,35,76,male,Pune,1
38739.53,43,3.0,7,0,medium,1,0,0,21,31,female,Bengaluru,1
114395.03,1,1.38,1,0,low,1,1,0,42,48,female,Pune,0
35619.22,73,0.96,2,0,high,0,1,6,45,33,female,Bengaluru,0
62291.8,54,2.5,1,0,low,1,1,5,15,43,female,Mumbai,1
31459.85,105,1.7,0,0,low,0,1,4,52,35,male,Pune,0
112389.18,41,1.9,0,0,low,1,1,0,17,72,female,Mumbai,0
20588.33,25,1.4,0,0,low,1,1,2,59,61,male,Pune,0
6344.36,20,1.28,4,0,low,0,1,6,51,71,female,Hyderabad,0
52776.55,25,1.38,1,0,low,0,0,1,1,67,female,Hyderabad,1
119092.69,55,0.53,1,1,low,0,1,1,24,63,female,Hyderabad,1
107109.59,11,1.44,0,0,low,1,1,3,23,28,male,Chennai,1
90084.35,49,1.71,5,0,medium,0,1,5,50,70,male,Mumbai,0
107004.31,103,2.8,5,0,low,1,1,6,44,67,female,Chennai,0
107320.15,93,1.56,7,0,low,0,1,4,3,25,male,Chennai,0
62744.14,77,0.05,0,0,low,0,1,3,51,23,female,Mumbai,1
38595.56,108,1.43,1,0,high,0,0,3,13,65,female,Hyderabad,0
92869.48,94,3.42,3,0,medium,1,1,0,22,42,male,Hyderabad,0
79737.69,79,2.11,5,0,high,0,0,2,10,38,male,Delhi,1
45465.27,104,0.93,1,1,high,0,1,1,9,42,female,Bengaluru,0
12241.53,15,1.91,1,0,low,0,0,0,32,72,female,Hyderabad,1
89867.96,99,0.98,3,0,medium,1,0,5,5,40,male,Mumbai,1
32232.8,36,0.55,0,1,low,1,0,2,4,41,male,Hyderabad,1
112480.76,88,1.26,3,0,high,0,1,4,47,43,male,Mumbai,1
29675.5,110,1.56,6,0,low,0,0,1,20,21,female,Hyderabad,1
15608.19,60,0.19,4,0,low,0,0,4,39,20,female,Mumbai,0
99902.41,11,0.7,3,0,high,0,0,1,60,44,female,Chennai,1
19240.83,45,1.51,3,0,high,1,1,5,3,19,female,Bengaluru,1
22332.93,49,1.21,7,1,high,0,1,5,48,65,female,Delhi,1
72326.55,113,1.78,4,0,low,0,1,2,6,44,female,Delhi,0
105072.88,114,0.65,4,0,low,1,1,1,46,49,male,Mumbai,0
24375.73,69,2.0,7,0,low,0,0,6,18,39,female,Chennai,1
37928.52,115,0.67,1,0,low,0,0,1,8,66,female,Hyderabad,0
93511.18,53,2.65,0,0,medium,0,1,1,13,44,female,Bengaluru,0
116647.34,50,0.3,3,0,low,0,0,2,22,20,female,Mumbai,1
60588.2,101,0.74,2,1,medium,0,0,7,44,48,male,Chennai,1
18123.8,81,1.79,1,0,low,0,0,3,41,29,female,Delhi,0
2658.42,63,2.66,0,0,medium,0,1,2,44,55,female,Hyderabad,0
28329.07,55,1.72,7,0,high,0,1,4,1,53,female,Mumbai,1
16686.84,85,1.89,4,0,medium,0,0,2,59,47,male,Bengaluru,0
81641.38,91,1.51,5,1,low,0,1,5,26,42,other,Delhi,1
15498.07,59,0.78,0,0,low,0,1,3,6,55,female,Hyderabad,1
61253.26,4,1.16,2,0,low,0,1,4,56,60,female,Pune,0
83617.23,13,0.65,4,0,medium,0,0,3,48,73,male,Bengaluru,0
70152.88,18,0.6,4,0,medium,0,1,3,5,78,female,Chennai,0
24773.3,56,1.78,5,0,low,0,1,3,26,23,female,Delhi,0
96690.82,74,0.71,5,0,high,1,1,3,55,59,female,Bengaluru,1
86133.45,97,1.72,3,0,medium,0,1,7,41,23,other,Mumbai,1
88939.1,28,0.59,6,0,high,1,0,2,11,44,male,Delhi,0
16595.87,95,1.71,2,0,low,0,1,6,42,64,female,Hyderabad,1
15726.7,80,1.16,0,0,high,0,1,5,11,52,male,Delhi,1
111379.94,7,2.48,7,0,low,0,0,4,21,68,male,Mumbai,1
48311.81,43,1.73,0,1,low,0,0,2,11,75,male,Bengaluru,1
36812.89,37,2.37,2,0,high,1,1,3,42,79,male,Delhi,0
59141.5,107,0.97,0,0,high,1,0,6,56,60,male,Chennai,0
79880.84,111,1.54,1,0,medium,1,1,1,2,60,male,Pune,1
114719.17,99,0.81,3,0,low,0,1,4,36,68,male,Hyderabad,0
35087.1,64,1.21,1,0,low,0,1,6,15,32,female,Chennai,0
111052.2,60,1.32,3,0,medium,0,0,5,45,36,male,Hyderabad,0
3958.28,38,0.99,7,0,high,0,1,1,8,39,male,Delhi,1
67068.57,93,0.65,1,0,low,0,1,4,22,64,male,Delhi,1
76443.04,11,0.51,7,0,low,0,1,1,12,40,male,Delhi,1
13601.79,33,0.05,3,0,medium,0,0,7,53,26,male,Hyderabad,1
17700.41,17,0.76,4,0,medium,1,0,2,5,68,female,Pune,1
50874.6,60,1.94,3,0,low,0,0,3,35,65,female,Bengaluru,1
115981.6,36,0.38,2,0,medium,0,0,6,7,55,male,Mumbai,1
71929.06,24,0.54,0,0,high,0,1,3,36,73,female,Bengaluru,1
112029.76,46,2.75,4,0,low,1,0,1,46,67,male,Hyderabad,1
96718.95,104,1.05,7,0,medium,0,0,7,45,74,female,Chennai,1
56618.41,67,1.72,4,0,medium,0,1,5,2,34,female,Pune,0
94386.85,99,1.95,4,0,medium,0,0,4,47,25,male,Delhi,1
3122.58,110,1.96,5,0,high,0,0,0,18,39,male,Pune,1
13988.14,109,0.43,3,0,medium,0,1,3,41,70,female,Delhi,0
99702.01,43,1.34,0,0,medium,1,1,3,58,76,male,Mumbai,0
95821.23,106,0.37,4,0,low,1,1,2,7,24,male,Chennai,1
28684.25,110,3.21,6,1,medium,1,1,4,22,71,female,Bengaluru,0
64161.58,116,0.38,2,0,low,0,1,1,52,48,female,Mumbai,0
73115.88,43,0.77,6,0,low,1,1,3,8,69,male,Hyderabad,0
104260.94,28,0.77,6,0,medium,0,1,6,15,60,female,Chennai,1
72769.75,71,0.45,1,0,medium,0,1,5,33,21,male,Bengaluru,1
50096.02,112,2.45,4,0,high,0,1,2,60,48,male,Delhi,1
45527.9,109,3.2,5,0,medium,0,1,1,17,23,female,Mumbai,0
51679.97,69,1.17,3,0,high,0,1,0,23,39,female,Bengaluru,1
78579.79,18,0.58,5,0,low,1,1,2,48,65,female,Chennai,1
104231.39,51,0.05,7,0,medium,1,0,0,7,61,female,Hyderabad,1
55013.73,86,1.33,5,1,high,0,1,1,19,62,female,Chennai,0
30492.91,68,1.28,6,0,low,0,0,7,19,59,female,Pune,1
29162.82,42,1.04,6,0,high,0,1,6,24,18,female,Hyderabad,0
89775.7,42,1.65,6,0,medium,0,1,4,34,54,male,Mumbai,0
98171.68,8,1.78,6,0,low,0,1,6,13,48,female,Pune,0
13528.09,35,1.73,1,0,medium,0,0,3,23,51,male,Bengaluru,1
8920.5,81,1.28,0,1,low,0,1,4,55,31,female,Delhi,0
71737.61,29,0.73,1,0,low,1,1,7,50,62,male,Pune,0
18394.62,120,1.97,1,0,low,1,1,0,58,56,male,Mumbai,1
99135.04,10,1.51,5,0,low,0,0,2,41,43,female,Mumbai,1
37929.83,71,2.12,4,0,low,1,1,0,35,21,female,Delhi,1
18120.76,60,2.05,3,0,high,0,1,6,13,22,male,Chennai,0
110595.49,100,0.5,0,1,low,0,1,6,9,40,male,Chennai,0
20698.28,107,0.5,5,0,high,0,1,5,32,51,female,Pune,1
34881.69,66,0.97,2,0,medium,0,0,4,24,80,other,Mumbai,0
19279.99,76,0.76,6,0,low,0,1,3,48,63,male,Bengaluru,1
14743.32,84,2.03,0,0,low,0,0,0,0,48,male,Chennai,0
3516.61,63,1.75,2,0,high,0,0,6,54,36,male,Pune,0
7592.05,23,2.27,0,0,medium,1,1,7,10,28,male,Delhi,1
21782.34,52,1.78,2,0,high,0,0,7,24,26,male,Pune,0
7352.45,29,1.65,7,0,low,0,1,2,21,22,female,Delhi,0
71346.11,56,2.34,3,0,medium,1,1,1,56,75,female,Delhi,1
82005.03,74,1.83,3,0,medium,0,0,5,43,19,male,Mumbai,0
47842.02,26,1.55,2,0,high,0,1,0,2,72,male,Hyderabad,1
38840.94,30,2.54,2,0,low,1,1,0,52,54,male,Chennai,1
61038.62,99,1.58,5,0,high,0,0,6,41,56,female,Bengaluru,1
105125.59,46,1.29,7,0,low,0,1,7,4,78,male,Chennai,1
102284.66,24,0.91,5,0,high,0,1,3,47,67,male,Mumbai,1
6173.53,86,1.99,5,0,medium,0,1,4,2,27,female,Hyderabad,1
22598.31,86,2.37,3,0,medium,1,1,4,25,79,male,Delhi,0
29172.64,100,1.46,0,0,low,0,1,1,9,29,female,Delhi,0
30677.12,92,2.42,5,0,high,0,1,1,0,53,female,Bengaluru,0
68976.69,120,0.12,6,0,low,1,0,2,34,58,male,Bengaluru,1
50535.23,69,1.46,4,0,medium,1,1,6,41,33,male,Bengaluru,1
6861.24,35,1.47,0,0,medium,0,1,3,29,57,female,Chennai,0
45460.08,104,0.99,5,0,medium,0,1,5,20,58,male,Mumbai,1
63326.6,32,3.17,7,0,medium,1,0,1,31,79,male,Chennai,1
13098.96,35,1.45,1,0,medium,0,1,7,9,75,female,Mumbai,0
100181.57,100,1.21,1,0,medium,0,0,7,3,43,female,Mumbai,1
7183.46,106,1.52,5,0,medium,0,1,3,9,61,female,Delhi,1
111056.18,41,0.1,2,0,medium,1,1,1,3,69,male,Bengaluru,1
12794.46,88,0.97,5,0,medium,0,1,7,46,19,male,Bengaluru,1
101385.42,111,2.19,5,0,high,0,1,6,37,61,male,Pune,0
108415.72,96,1.06,2,0,medium,1,1,4,11,75,male,Chennai,1
117568.91,1,0.92,0,0,low,0,1,2,34,25,female,Bengaluru,1
96441.08,80,2.42,4,0,medium,0,1,4,29,65,male,Bengaluru,1
93757.83,21,2.44,3,0,low,0,1,2,6,21,male,Chennai,1
77455.51,102,1.86,6,0,low,1,1,5,59,43,male,Chennai,0
93700.57,9,1.18,2,0,medium,0,1,6,57,69,male,Delhi,0
17011.71,120,1.33,1,0,low,0,1,3,46,80,male,Delhi,0
64792.1,22,0.94,6,0,medium,0,1,0,49,63,female,Mumbai,1
62192.52,51,0.8,5,0,high,0,1,4,33,63,male,Bengaluru,0
103051.09,29,0.77,4,0,low,1,1,6,49,34,female,Mumbai,0
56073.12,98,1.07,7,0,low,0,0,1,32,70,male,Bengaluru,1
46825.65,48,0.78,6,0,low,0,1,7,10,59,male,Delhi,1
77108.03,90,0.41,6,0,low,1,1,2,10,77,female,Mumbai,1
32709.13,9,1.65,6,0,medium,0,1,5,52,55,female,Delhi,1
17632.44,55,1.66,3,0,medium,0,1,5,27,20,male,Hyderabad,0
57867.4,110,2.69,0,0,medium,1,1,1,44,50,male,Bengaluru,1
50609.83,112,1.03,4,0,low,0,0,0,8,66,female,Delhi,0
28675.82,26,1.71,6,1,medium,0,1,7,27,67,female,Delhi,1
44733.91,48,1.72,7,1,low,0,1,5,5,42,male,Bengaluru,1
44600.7,50,1.32,5,0,medium,0,1,5,13,28,male,Pune,0
39971.97,68,2.02,4,0,medium,0,1,2,6,72,male,Bengaluru,0
46156.23,65,2.04,4,0,low,0,1,0,12,69,female,Pune,1
82603.46,13,1.73,0,0,high,1,1,2,37,73,female,Hyderabad,1
36328.3,92,1.32,0,0,medium,1,0,4,0,60,male,Bengaluru,0
113914.09,28,1.25,0,0,low,1,1,5,11,70,male,Pune,1
110045.41,38,0.54,7,0,medium,0,0,2,42,43,male,Delhi,1
58228.34,101,0.94,6,0,medium,0,0,1,9,67,female,Hyderabad,0
40074.98,83,1.06,2,0,low,1,1,1,33,48,female,Hyderabad,0
64716.74,48,0.71,3,0,low,0,0,7,52,68,female,Pune,0
101978.7,110,1.81,3,0,medium,1,1,5,47,27,female,Mumbai,0
78657.89,48,2.34,1,1,high,1,1,7,7,36,male,Pune,1
96722.63,68,0.86,3,0,medium,0,1,0,8,31,female,Delhi,1
64393.95,30,1.7,2,0,medium,0,1,3,43,43,male,Hyderabad,1
76317.2,22,0.78,5,0,medium,0,0,3,21,69,male,Chennai,1
35290.52,59,1.29,6,0,low,0,1,3,25,25,male,Mumbai,0
88452.29,68,1.02,0,0,low,0,1,3,29,64,female,Mumbai,1
25086.15,97,1.92,3,0,low,0,1,0,35,70,male,Bengaluru,0
83680.98,47,1.02,7,1,high,1,1,0,27,60,male,Bengaluru,1
103425.57,108,2.21,6,0,high,0,1,6,1,58,female,Delhi,1
16720.24,73,1.33,6,0,high,0,1,3,5,26,female,Delhi,1
74111.19,9,1.05,5,0,low,1,1,1,0,56,female,Hyderabad,0
12316.39,89,0.62,0,1,medium,1,0,2,16,32,male,Bengaluru,1
87360.16,69,1.68,7,0,medium,1,1,7,49,33,female,Chennai,0
11054.69,47,2.13,5,1,low,0,1,3,59,72,male,Hyderabad,1
112376.84,57,1.69,7,0,low,1,1,7,29,56,male,Delhi,1
17351.54,37,3.07,7,0,medium,1,0,1,1,80,male,Chennai,0
115106.75,74,2.5,2,0,medium,1,0,0,4,46,male,Chennai,0
96305.22,69,1.28,0,0,medium,0,1,4,49,40,female,Mumbai,0
71648.16,54,1.28,5,0,low,0,0,5,20,80,female,Mumbai,0
94132.27,35,1.83,3,1,medium,0,1,7,53,57,male,Pune,1
95618.67,48,0.91,0,0,low,0,1,3,30,72,female,Bengaluru,0
113577.22,60,2.32,2,0,low,0,1,1,53,20,female,Chennai,0
31152.62,57,1.75,7,0,medium,1,1,4,8,51,female,Chennai,0
71219.03,38,1.68,2,1,low,0,0,2,52,69,male,Delhi,0
12310.85,70,1.98,2,1,high,1,0,1,33,68,male,Chennai,1
74323.72,28,2.71,5,0,medium,0,1,0,26,63,female,Pune,1
21383.67,61,1.62,5,0,low,1,1,5,32,28,female,Bengaluru,0
68229.12,15,1.42,2,1,low,0,1,5,19,52,male,Delhi,1
69119.23,57,2.56,6,0,medium,0,0,1,36,24,male,Chennai,0
56452.23,95,2.18,4,0,low,0,1,4,46,68,male,Hyderabad,1
63193.18,99,1.28,1,0,low,1,0,7,49,57,male,Bengaluru,0
91906.88,84,1.5,2,0,low,0,1,6,59,30,male,Bengaluru,1
96110.12,90,1.64,6,0,low,0,0,3,25,63,male,Hyderabad,1
59566.23,8,1.75,0,0,medium,1,1,0,46,63,male,Delhi,1
72351.62,41,0.55,0,0,medium,0,1,5,54,21,female,Pune,1
111817.11,79,0.42,5,0,low,0,1,4,1,23,female,Bengaluru,1
15248.3,97,0.88,3,0,medium,0,1,7,28,30,male,Delhi,1
14935.32,70,0.82,2,0,low,0,0,4,42,22,male,Bengaluru,1
11437.37,103,1.05,3,0,medium,0,1,5,27,51,female,Chennai,1
79285.73,33,1.94,1,0,low,0,1,4,6,73,male,Bengaluru,1
50814.39,19,1.38,2,0,medium,0,1,4,39,21,female,Mumbai,1
93144.25,11,1.64,1,0,low,0,1,2,24,56,male,Bengaluru,1
80876.54,70,0.64,4,0,medium,1,1,3,37,44,female,Delhi,1
40702.89,80,1.18,5,0,low,1,0,2,0,70,male,Mumbai,0
107905.62,35,1.91,7,0,high,0,1,3,0,48,female,Chennai,0
91741.33,95,1.92,0,0,low,0,1,7,36,60,female,Mumbai,1
33193.66,89,0.99,2,0,high,0,1,2,59,76,female,Bengaluru,1
